name,location,Date,Rating,Review,Image_Links,clean_text
Breggetta,"Long Beach, CA","Reviewed July 27, 2023",1.0,"I filed a BBB complaint last month because Starbucks canceled my Starbucks Reward cards. I couldn't remember the balances, so I guessed about $9. Starbucks played nothing but games and tried everything they could to avoid responding to the complaint. I received a couple of phone call messages asking me to contact them directly and discuss the matter. The number provided was the customer service number and when I spoke with one representative, Linda hung up the phone on me. I did not use my card since 2012 which is my prerogative. Because of this and other reasons, Starbucks decided to close my Starbucks account. I reopened one about a few weeks ago and added a new card that I have not used yet.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_806740_thumbnail.jpg'],i filed a bbb complaint last month because starbucks canceled my starbucks reward cards i couldnt remember the balances so i guessed about starbucks played nothing but games and tried everything they could to avoid responding to the complaint i received a couple of phone call messages asking me to contact them directly and discuss the matter the number provided was the customer service number and when i spoke with one representative linda hung up the phone on me i did not use my card since which is my prerogative because of this and other reasons starbucks decided to close my starbucks account i reopened one about a few weeks ago and added a new card that i have not used yet
Shannon,"Westerville, OH","Reviewed July 21, 2023",2.0,"Every time I try to buy a Strawberry Refresher Starbucks never has strawberries to put into the drink. How is the drink called Strawberry Refresher and you guys never have any damn strawberries. It seems every time we go on the Starbucks to order a specialty drink you guys are constantly out of it. It’s like calling a pizza place, and they’re telling us they’re out of cheese. I don’t give you a partial payment so I don’t expect a partial drink.",['No Images'],every time i try to buy a strawberry refresher starbucks never has strawberries to put into the drink how is the drink called strawberry refresher and you guys never have any damn strawberries it seems every time we go on the starbucks to order a specialty drink you guys are constantly out of it its like calling a pizza place and theyre telling us theyre out of cheese i dont give you a partial payment so i dont expect a partial drink
Lucy,"Fontana, CA","Reviewed July 21, 2023",1.0,Insulted by customer service representative as I called to complain instead of acknowledge they have issues and they are providing low quality. She called me suspicious even though I spend at least average 15 dollars a day. Was so upset and I decided to close the account after being with them for more than 10 yrs. Company that doesn't appreciate feedback soon to fall especially that it lost its quality.,['No Images'],insulted by customer service representative as i called to complain instead of acknowledge they have issues and they are providing low quality she called me suspicious even though i spend at least average dollars a day was so upset and i decided to close the account after being with them for more than yrs company that doesnt appreciate feedback soon to fall especially that it lost its quality
RAYMOND,"Kapolei, HI","Reviewed July 16, 2023",1.0,"I would give Starbucks zero stars if I could. I received an email that I would be receiving a birthday reward on the day of my birthday and it would be good on the day of my birthday only. The email also stated that the reward would be for any drink or food item. I went to an Starbucks near my home. The cashier told me my coupon had expired. I told her I don't have a coupon. Its a birthday reward. I ordered a sandwich. The cashier said I could only purchase a drink. I showed her the email. She said, let's try it and swiped my card. She said it didn't take so she asked if I wanted a drink. I told her to just give me a venti hot coffee. She swiped my card again and said it didn't work. Then she asked, ""Are you sure it's your birthday?"" I showed her the email that said in big letters, 7/15. I told her this is July 15 and this is my birthday. ",['No Images'],i would give starbucks zero stars if i could i received an email that i would be receiving a birthday reward on the day of my birthday and it would be good on the day of my birthday only the email also stated that the reward would be for any drink or food item i went to an starbucks near my home the cashier told me my coupon had expired i told her i dont have a coupon its a birthday reward i ordered a sandwich the cashier said i could only purchase a drink i showed her the email she said lets try it and swiped my card she said it didnt take so she asked if i wanted a drink i told her to just give me a venti hot coffee she swiped my card again and said it didnt work then she asked are you sure its your birthday i showed her the email that said in big letters i told her this is july and this is my birthday
Thomas,"Absecon, NJ","Reviewed July 6, 2023",1.0,"On June 21, 2023 I purchased coffee and a breakfast sandwich for $8.10 at the Starbucks located at the Target store in Mays Landing, N.J. I was not given purchase credit and “star” points for the purchase even though the cashier there scanned my Starbucks app. I reported this to customer service the next day and was told to email them a copy of my credit card receipt to their customer service address, which I did. I have still not been given stars to my account or credit for this purchase. I have attempted to contact them on multiple occasions and they have not responded.",['No Images'],on june i purchased coffee and a breakfast sandwich for at the starbucks located at the target store in mays landing nj i was not given purchase credit and star points for the purchase even though the cashier there scanned my starbucks app i reported this to customer service the next day and was told to email them a copy of my credit card receipt to their customer service address which i did i have still not been given stars to my account or credit for this purchase i have attempted to contact them on multiple occasions and they have not responded
Felicia,"Atlanta, GA","Reviewed July 6, 2023",1.0,"My mother sent me a $15 gift card purchased from Walgreens in June. She came to visit me this past weekend and brought the Gift card receipts. I contacted Walgreens to replace the cards. I was told to contact the Merchant (Starbucks). I called Starbucks and spoke with a representative today, explained my problem. He asked for the card number. When I provided it, he transferred me to a different department that handles these issues. I got another representative. I told this representative why I was transferred over. She got silent and ended the call. It is like no one wants to handle issues or do their job. ",['No Images'],my mother sent me a gift card purchased from walgreens in june she came to visit me this past weekend and brought the gift card receipts i contacted walgreens to replace the cards i was told to contact the merchant starbucks i called starbucks and spoke with a representative today explained my problem he asked for the card number when i provided it he transferred me to a different department that handles these issues i got another representative i told this representative why i was transferred over she got silent and ended the call it is like no one wants to handle issues or do their job
Sean,"Hamilton, Other","Reviewed June 28, 2023",1.0,"Was handed a coffee in a drive through. The lid was not on right and the top edge of the cup was bent. When I accepted the coffee and was going to place it in my cup holder, the cup bent, the lid fell off and the coffee spilled all over myself and my newly detailed interior. Not the way to start a day especially on the way to an appointment. Now $$ for coffee and detailing.",['No Images'],was handed a coffee in a drive through the lid was not on right and the top edge of the cup was bent when i accepted the coffee and was going to place it in my cup holder the cup bent the lid fell off and the coffee spilled all over myself and my newly detailed interior not the way to start a day especially on the way to an appointment now for coffee and detailing
Charles,"Washington, DC","Reviewed June 11, 2023",1.0,I’m at 20th and L in DC. There are a dozen people here and only one employee to make drinks. Unacceptable. I have commitments to get to and I don’t have time to wait. It’s already been 20 minutes. I won’t come to this location again.,['No Images'],im at th and l in dc there are a dozen people here and only one employee to make drinks unacceptable i have commitments to get to and i dont have time to wait its already been minutes i wont come to this location again
Miya,"Fairburn, GA","Reviewed June 3, 2023",1.0,I have been purchasing Starbucks a lot using my cash app card. I reached out to Starbucks customer service so they could add my purchases or receipts to my account for points. I emailed them and received an automated email back saying someone will reach out to me. No one has as of yet. I sent out another email and still didn't get any assistance. Starbucks is ignoring me about receiving help,"['https://media.consumeraffairs.com/files/cache/reviews/starbucks_802790_thumbnail.jpg', 'https://media.consumeraffairs.com/files/cache/reviews/starbucks_802791_thumbnail.jpg']",i have been purchasing starbucks a lot using my cash app card i reached out to starbucks customer service so they could add my purchases or receipts to my account for points i emailed them and received an automated email back saying someone will reach out to me no one has as of yet i sent out another email and still didnt get any assistance starbucks is ignoring me about receiving help
Ann,"Coquitlam, Other","Reviewed May 30, 2023",1.0,"Starbucks Como Lake. Bad attitude of the cashier, demonstrative arrogance and didn't greet me, misspelled my name, then laughed at me with the staff. Orders are often confused, it is better to take a check in order to get the desired drink later. The order took a long time, one day we had to wait 30 minutes. Bad place.",['No Images'],starbucks como lake bad attitude of the cashier demonstrative arrogance and didnt greet me misspelled my name then laughed at me with the staff orders are often confused it is better to take a check in order to get the desired drink later the order took a long time one day we had to wait minutes bad place
Vicki,"Haltom City, TX","Reviewed May 22, 2023",1.0,"This past Sunday, 5/21/2023 we went through the drive in and bought 2 Double smoked breakfast sandwiches, expecting it to have back and Gruyere cheese and an egg. They did not. We got 2 buns pasted together with unidentifiable something. We were on the road somewhere or I would have turned around and returned them. I know their food comes pre packaged and only warmed at the store, so I fault the company for falsely selling food that does not meet the picture on display at the ordering kiosk. Just how many millions does Starbucks need to make on a daily basis? Their food is already overpriced. I mean, how much does 1 egg, 1 small slices of bacon and cheese cost?",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_801697_thumbnail.jpeg'],this past sunday we went through the drive in and bought double smoked breakfast sandwiches expecting it to have back and gruyere cheese and an egg they did not we got buns pasted together with unidentifiable something we were on the road somewhere or i would have turned around and returned them i know their food comes pre packaged and only warmed at the store so i fault the company for falsely selling food that does not meet the picture on display at the ordering kiosk just how many millions does starbucks need to make on a daily basis their food is already overpriced i mean how much does egg small slices of bacon and cheese cost
Shannon,"Phoenix, AZ","Reviewed May 15, 2023",1.0,I WAS OVERCHARGED FOR A VENTI BROWN SUGAR SHAKEN ESPRESSO. I looked at my paypal notification and there was 13.40$ taken from my account for the coffee drink. Very unhappy about it. I would like a refund of the total price. If not I will never buy another product from you guys. I go to Starbucks on the regular. I am just really sick and tired of being taken advantage of.,['No Images'],i was overcharged for a venti brown sugar shaken espresso i looked at my paypal notification and there was taken from my account for the coffee drink very unhappy about it i would like a refund of the total price if not i will never buy another product from you guys i go to starbucks on the regular i am just really sick and tired of being taken advantage of
VD,"Davis, CA","Reviewed May 11, 2023",1.0,"I received a gift card on 4/20/2023 but not able to use it today, 5/11/2023. I believe no one should purchase Starbucks gift card anymore, because this is the 2nd time I was not able to use a Starbucks gift card...the first time was a thank-you card from the coordinator of our church's Foster the City program; all of us ""support friends"" helping out the foster families with various tasks received a card but it turned out we were all told not to use it because for reasons unbeknownst to him the cards were invalid. Sadly it happened—again...this time I received a card from a trusted friend and the same happened. I already texted her and let her know what had happened. I'm having a bad feeling Starbucks is having some kind of scam. I'm so appreciative of my friend’s kind heart and texted her about the card because I feel uncomfortable about what Starbucks is doing and personally I will not purchase Starbucks gift cards in the future, anymore.",['No Images'],i received a gift card on but not able to use it today i believe no one should purchase starbucks gift card anymore because this is the nd time i was not able to use a starbucks gift cardthe first time was a thankyou card from the coordinator of our churchs foster the city program all of us support friends helping out the foster families with various tasks received a card but it turned out we were all told not to use it because for reasons unbeknownst to him the cards were invalid sadly it happenedagainthis time i received a card from a trusted friend and the same happened i already texted her and let her know what had happened im having a bad feeling starbucks is having some kind of scam im so appreciative of my friends kind heart and texted her about the card because i feel uncomfortable about what starbucks is doing and personally i will not purchase starbucks gift cards in the future anymore
Jennifer,"West Roxbury, MA","Reviewed April 30, 2023",1.0,"I spend about $30/day, is it asking too much to have a lid that does not fall off? I have contacted Starbucks customer service for months being told they are addressing the issue but nothing changes.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_800135_thumbnail.jpg'],i spend about day is it asking too much to have a lid that does not fall off i have contacted starbucks customer service for months being told they are addressing the issue but nothing changes
Mark,"Homosassa, FL","Reviewed April 28, 2023",1.0,During Covid their restrictions were over the top and still require staff to put cream and sugar in my coffee. Starbucks this is nonsense - no wonder you have 3 stars. Why should your customers wait for a cup of coffee as if I had ordered a frap. Dumb policy. Sell coffee not politics.,['No Images'],during covid their restrictions were over the top and still require staff to put cream and sugar in my coffee starbucks this is nonsense no wonder you have stars why should your customers wait for a cup of coffee as if i had ordered a frap dumb policy sell coffee not politics
Chris,"Mesquite, TX","Reviewed April 20, 2023",1.0,"For me to come on here and leave a review for your store on town east (New store beside HS) y'all need to do better! Tell your employees to stay off their phones and put effort into doing their jobs or employ people that actually want to work! I waited patiently for my coffee as did everyone else but my frappe tasted like crap! I don't drink Starbucks very often and if I do I go to the one on military and never had an issue there whatsoever l! BUT TODAY, I happen to be in the town east area and decided to treat myself to a frappe! Unfortunately it tasted like crap, and seeing an employee on their phone after receiving my coffee irritated me cause if they put as much attention into doing their job as they do their phone it probably would get them more than one star!!",['No Images'],for me to come on here and leave a review for your store on town east new store beside hs yall need to do better tell your employees to stay off their phones and put effort into doing their jobs or employ people that actually want to work i waited patiently for my coffee as did everyone else but my frappe tasted like crap i dont drink starbucks very often and if i do i go to the one on military and never had an issue there whatsoever l but today i happen to be in the town east area and decided to treat myself to a frappe unfortunately it tasted like crap and seeing an employee on their phone after receiving my coffee irritated me cause if they put as much attention into doing their job as they do their phone it probably would get them more than one star
Elizabeth,"Spring Valley, CA","Reviewed March 30, 2023",1.0,"Me and my Special needs son need to wait at a Starbucks for an Access Van. The store has only teeny tiny tables, where two people can not sit at, as the table is far too small. And round, so the tables can not be joined. The staff, told me Starbucks is making it extremely uncomfortable for a family to eat inside, and difficult for couples, people with special needs, basically everyone. The table is a little bigger than a stool. I was told the staff and many complained, though corporate office stated to them, Star Bucks is not a family friendly place, not a place for a group of people to meet. They said the corporate office said, despite the complaints, the tiny tables stay,",['No Images'],me and my special needs son need to wait at a starbucks for an access van the store has only teeny tiny tables where two people can not sit at as the table is far too small and round so the tables can not be joined the staff told me starbucks is making it extremely uncomfortable for a family to eat inside and difficult for couples people with special needs basically everyone the table is a little bigger than a stool i was told the staff and many complained though corporate office stated to them star bucks is not a family friendly place not a place for a group of people to meet they said the corporate office said despite the complaints the tiny tables stay
Kemmis,"Toronto, Other","Reviewed March 29, 2023",1.0,"It has chemical odors and makes me gag. My friend dared me to have some and I barfed all over the store. They spelled my name wrong on purpose, my name is Kemmis but Starbucks spelled it as Chemist and I said, ""That's not my name, it's Kemmis.""",['No Images'],it has chemical odors and makes me gag my friend dared me to have some and i barfed all over the store they spelled my name wrong on purpose my name is kemmis but starbucks spelled it as chemist and i said thats not my name its kemmis
Eva,"Montreal, Other","Reviewed March 10, 2023",1.0,"Ok so, I already had in mind to stop going to Starbucks since it was costing me like 250$ a month. When I saw on Tiktok how unhealthy their drinks really are, I just knew I had slow down my intake. But today that was it for me. They told me that to have a free drink is no longer 150 stars - it’s now required to accumulate 200 Stars. No way, this is a sign from the Universe for me to really stop drinking their unhealthy drinks. They can go and require 1000 Stars for a free drink if they wish - I don’t care because, I really am not interested anymore.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_796930_thumbnail.jpg'],ok so i already had in mind to stop going to starbucks since it was costing me like a month when i saw on tiktok how unhealthy their drinks really are i just knew i had slow down my intake but today that was it for me they told me that to have a free drink is no longer stars its now required to accumulate stars no way this is a sign from the universe for me to really stop drinking their unhealthy drinks they can go and require stars for a free drink if they wish i dont care because i really am not interested anymore
Tiffany,"Silver Spring, MD","Reviewed March 3, 2023",1.0,I bought a Caramel macchiato last night on 03/02/2023 and there was particles of a white cleaning rag in my drink. Pretty much Starbucks isn’t doing anything which is awful and disgusting. I have lost my ambition to buy coffee from Starbucks forever after this experience and with their customer service.,['No Images'],i bought a caramel macchiato last night on and there was particles of a white cleaning rag in my drink pretty much starbucks isnt doing anything which is awful and disgusting i have lost my ambition to buy coffee from starbucks forever after this experience and with their customer service
Kseniia,"Old Bridge, NJ","Reviewed Feb. 22, 2023",1.0,"My account got blocked, I cannot log in and I have a substantial balance there. I have already spent hours on the phone with customer service trying to resolve this. The issue was even ""escalated"" to a senior rep. But after months of going back and forth and me bagging to return my money, Starbucks reps say that there's nothing they can do. They wouldn't issue me a card for the balance or credit me back on my credit card.",['No Images'],my account got blocked i cannot log in and i have a substantial balance there i have already spent hours on the phone with customer service trying to resolve this the issue was even escalated to a senior rep but after months of going back and forth and me bagging to return my money starbucks reps say that theres nothing they can do they wouldnt issue me a card for the balance or credit me back on my credit card
Nilly,"Pleasant Hill, CA","Reviewed Feb. 19, 2023",1.0,"All the money Starbucks makes not only are they ungrateful to their employees but what's the point of being a loyal ongoing cu6 when you have to pay more just to start using rewards, why would they change the amount you need to earn? It's bad enough all their Starbucks games you don't win anything big. It's like they are all rigged that way...Not to win.",['No Images'],all the money starbucks makes not only are they ungrateful to their employees but whats the point of being a loyal ongoing cu when you have to pay more just to start using rewards why would they change the amount you need to earn its bad enough all their starbucks games you dont win anything big its like they are all rigged that waynot to win
Latasha,"Duffield, VA","Reviewed Feb. 9, 2023",3.0,"In my opinion, I can't believe Starbucks has now changed it to 200 stars for free handcrafted beverage!!! It was 150 so that means spend $150 and you get a free drink! Not anymore. The coffees are already outrageous as it is, they ask you tip now with new card reader which is super uncomfortable in the first place. May start going to 7 Brew, it's good, cheap and 5 minutes from them here in Kingsport.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_795081_thumbnail.jpg'],in my opinion i cant believe starbucks has now changed it to stars for free handcrafted beverage it was so that means spend and you get a free drink not anymore the coffees are already outrageous as it is they ask you tip now with new card reader which is super uncomfortable in the first place may start going to brew its good cheap and minutes from them here in kingsport
William,"Las Vegas, NV","Reviewed Feb. 5, 2023",1.0,"On 01/23/2023 I purchased Starbucks beverage located in Las Vegas. Upon receiving the beverage (Caramel Macchiato), it was drowned in Caramel Sauce. Caramel was thrown in the cup and to top it off an excessive amount of Caramel was put on top. I requested the beverage to be made again. Upon departing property, I realized that the steaming wand was never wiped down. I returned home and contacted Starbucks via email to leave a complaint. I was contacted back and was informed that I would be receiving a full refund for the purchase. On 02/04/2023, I received the gift card through Mail. Looked to see how much was refund and showed, 10 cents. Due to the lack customer service, I will be taking my business elsewhere.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_794756_thumbnail.JPG'],on i purchased starbucks beverage located in las vegas upon receiving the beverage caramel macchiato it was drowned in caramel sauce caramel was thrown in the cup and to top it off an excessive amount of caramel was put on top i requested the beverage to be made again upon departing property i realized that the steaming wand was never wiped down i returned home and contacted starbucks via email to leave a complaint i was contacted back and was informed that i would be receiving a full refund for the purchase on i received the gift card through mail looked to see how much was refund and showed cents due to the lack customer service i will be taking my business elsewhere
James,"Johnson City, TN","Reviewed Feb. 4, 2023",1.0,Got to Starbucks inside Food City before 6 pm. Asked for a large decaf. I was told they could only do a half caf. Very disappointed in their logistics function. A viable business should have its ordering of supplies rather optimized by the time they are a mature business.,['No Images'],got to starbucks inside food city before pm asked for a large decaf i was told they could only do a half caf very disappointed in their logistics function a viable business should have its ordering of supplies rather optimized by the time they are a mature business
vincent,"East Stroudsburg, PA","Reviewed Feb. 1, 2023",2.0,"I know a lot of people line up for this stuff but the coffee is not that good. I guess that's why they put in so many flavorings and sweeteners. If you like just coffee, try somewhere else. Many to choose from. I won't name them here. This is not an advertisement.",['No Images'],i know a lot of people line up for this stuff but the coffee is not that good i guess thats why they put in so many flavorings and sweeteners if you like just coffee try somewhere else many to choose from i wont name them here this is not an advertisement
J,"Mission, TX","Reviewed Feb. 1, 2023",2.0,I have had enough of this companies deceitful ways. A 16oz Grande and 24 oz Vente both have 2 shots of espresso. All you are paying for is more milk which weakens the taste. Logically if a grande has 2 shots then a vente should have 3. The shots have already been reduced in size over the years. Secondly Tips are based on performance...to ask us to tip before we can even finish cashing out is no right. You are pressuring us to leave a tip before we even get our coffee. What if the service stinks? I think you should go back to using a tip jar that way if the service is good we can tip and if not we can leave. I am only one person but you have lost me as a customer and I will do whatever I can to spread the word.,['No Images'],i have had enough of this companies deceitful ways a oz grande and oz vente both have shots of espresso all you are paying for is more milk which weakens the taste logically if a grande has shots then a vente should have the shots have already been reduced in size over the years secondly tips are based on performanceto ask us to tip before we can even finish cashing out is no right you are pressuring us to leave a tip before we even get our coffee what if the service stinks i think you should go back to using a tip jar that way if the service is good we can tip and if not we can leave i am only one person but you have lost me as a customer and i will do whatever i can to spread the word
Brenda,"Sloan, IA","Reviewed Jan. 30, 2023",1.0,They are ALWAYS out of stuff at Lakeport Commons in Sioux City!! So forger mobile ordering! Mobile ordering takes your money then when you get there told out of SOMETHING and you lost money. Never have the sauces you want. Out if Matcha for green tea for weeks! Out of ice coffee at least 2x week.,['No Images'],they are always out of stuff at lakeport commons in sioux city so forger mobile ordering mobile ordering takes your money then when you get there told out of something and you lost money never have the sauces you want out if matcha for green tea for weeks out of ice coffee at least x week
ANDRU,"Rocky Mount, NC","Reviewed Jan. 1, 2023",2.0,I had purchased a drink on my app at an airport. I went to pick it up and they said they could not make my drink because the blender was broken down and could not refund my money. I asked them how I would get my money back. They said there's a phone number on the app and the phone number goes to the store and I've called the store nine times and no one will answer. I send an email to Starbucks Corporation 2 weeks ago and have heard nothing. I will no longer visit or you Starbucks..,['No Images'],i had purchased a drink on my app at an airport i went to pick it up and they said they could not make my drink because the blender was broken down and could not refund my money i asked them how i would get my money back they said theres a phone number on the app and the phone number goes to the store and ive called the store nine times and no one will answer i send an email to starbucks corporation weeks ago and have heard nothing i will no longer visit or you starbucks
Marlene,"Oshawa, Other","Reviewed Dec. 29, 2022",1.0,"They wonder why they have to shut down locations. This company should be called makeothercoffeecompaniesbucks because they don't care in helping people out who can't get into their mobile accounts. Second time this year I get locked out of my account and no matter what I do I can't get in and then when you call customer service they can't speak/understand English and say they fixed the problem when nothing gets fixed, then someone tells you someone will call you and nobody does. I'm done with this company. Thanks for saving me hundreds a month!!!",['No Images'],they wonder why they have to shut down locations this company should be called makeothercoffeecompaniesbucks because they dont care in helping people out who cant get into their mobile accounts second time this year i get locked out of my account and no matter what i do i cant get in and then when you call customer service they cant speakunderstand english and say they fixed the problem when nothing gets fixed then someone tells you someone will call you and nobody does im done with this company thanks for saving me hundreds a month
Paul,"Portland, OR","Reviewed Dec. 13, 2022",1.0,"Yet another person with a Horrible Experience at a Starbucks... Specifically, the Starbucks at Johnson Creek Crossing in Portland, Oregon. I was trying to give my order at the drive-thru, but apparently the person who was taking it couldn't hear me very well. A short, decaf vanilla mocha non-fat no-whip. Still, she had every thing right but the vanilla, so when she asked me if it was right, I said ""Everything but the vanilla."" She said she was having trouble hearing me, so I said loudly ""Va-nil-la!"" She said she was still having trouble hearing me, and for some unknown reason changed the drink to a grande vanilla latte, so I said loudly ""Moch-a!"" and then asked her why she changed the drink/size? She said she more about not being able to hear me, so in a very loud voice I said ""SHORT... DECAF... VANILLA... MOCHA.. NONFAT... NO WHIP"" At which point she said I was treating her badly and refused to take my order. ",['No Images'],yet another person with a horrible experience at a starbucks specifically the starbucks at johnson creek crossing in portland oregon i was trying to give my order at the drivethru but apparently the person who was taking it couldnt hear me very well a short decaf vanilla mocha nonfat nowhip still she had every thing right but the vanilla so when she asked me if it was right i said everything but the vanilla she said she was having trouble hearing me so i said loudly vanilla she said she was still having trouble hearing me and for some unknown reason changed the drink to a grande vanilla latte so i said loudly mocha and then asked her why she changed the drinksize she said she more about not being able to hear me so in a very loud voice i said short decaf vanilla mocha nonfat no whip at which point she said i was treating her badly and refused to take my order
Trenton,"Newnan, GA","Reviewed Nov. 29, 2022",1.0,"So I went to Starbucks at the Kroger on lower Fayetteville and there was this old man serving coffee there so I went up to there and asked for a tall Americano and he asked my name and I said it but he said he didn't hear me so I said it louder. So when I got my drink, I was just sipping it until I looked at the receipt on my cup, it said Trenae, worst service ever!!",['No Images'],so i went to starbucks at the kroger on lower fayetteville and there was this old man serving coffee there so i went up to there and asked for a tall americano and he asked my name and i said it but he said he didnt hear me so i said it louder so when i got my drink i was just sipping it until i looked at the receipt on my cup it said trenae worst service ever
